This takes samples from 1 FSR and the MPU6050. We got 623 samples from 1600 expected samples(200HZ sampling rate for 8 seconds) due to some I/O operations overhead which will be fixed.
However the data successfully reflected the motion performed:
1. Press fsr and imu unchanged
2.Press FSR
3. Rotate IMU (this can be perceived from accel z value changing from the gravity constant to a smaller value as well as the gyro values)
4. IMU back to original position
5. FSR released
timestamp,accel_x_m_s2,accel_y_m_s2,accel_z_m_s2,gyro_x_dps,gyro_y_dps,gyro_z_dps,fsr_value
1739750162.2316039,-3.70030517578125,0.5508544921875,9.314230957031251,-3.946564885496183,-2.549618320610687,-0.6870229007633588,0
1739750162.2417355,-3.78652587890625,0.3975732421875,9.275910644531251,-6.419847328244275,-2.900763358778626,-1.0916030534351144,0
1739750162.2518594,-3.7314404296875003,0.5053491210937501,9.36213134765625,-7.00763358778626,-2.9923664122137406,-1.4045801526717556,0
1739750162.261974,-3.7122802734375,0.27303222656250004,9.35255126953125,-8.045801526717558,-2.7404580152671754,-0.9465648854961832,0
1739750162.2720873,-3.5446289062500003,0.53887939453125,9.2591455078125,-6.022900763358779,-2.366412213740458,-0.5419847328244275,0
1739750162.2822454,-3.7673657226562502,0.26584716796875,9.2878857421875,-5.770992366412214,-2.6412213740458017,-1.2061068702290076,0
1739750162.2924397,-3.8248461914062504,0.19639160156250002,9.09867919921875,-1.2671755725190839,-2.6030534351145036,-0.26717557251908397,0
1739750162.3025703,-3.745810546875,0.3879931640625,9.148974609375001,1.2290076335877862,-1.8702290076335877,-3.2213740458015265,0
1739750162.3127127,-3.88232666015625,0.53887939453125,9.208850097656251,1.8702290076335877,-1.4961832061068703,-1.9389312977099236,0
1739750162.322831,-3.669169921875,0.8622070312500001,9.58726318359375,-0.25190839694656486,-0.6412213740458015,2.381679389312977,0
1739750162.3329751,-3.83203125,0.11256591796875001,9.072333984375,-1.5648854961832062,-0.366412213740458,0.9618320610687023,0
1739750162.3430946,-3.6404296875,0.6251000976562501,9.297465820312501,1.1068702290076335,1.2748091603053435,1.083969465648855,0
1739750162.353247,-3.80568603515625,0.59635986328125,9.36931640625,-4.122137404580153,0.48091603053435117,4.786259541984733,0
1739750162.3633833,-3.755390625,0.5843847656250001,9.410031738281251,-5.786259541984733,-0.5954198473282443,-0.6106870229007634,0
1739750162.3735027,-3.8440063476562503,0.6849755859375001,9.0004833984375,-17.14503816793893,6.549618320610687,-1.4351145038167938,0
1739750162.3836384,-3.97333740234375,0.3400927734375,9.36213134765625,-15.618320610687023,2.1603053435114505,-3.3053435114503817,0
1739750162.3937607,-3.7913159179687503,0.5125341796875,8.9286328125,-17.297709923664122,9.007633587786259,-2.2061068702290076,0
1739750162.4038765,-3.6643798828125003,0.67060546875,9.4507470703125,-16.793893129770993,6.511450381679389,-1.6870229007633588,0
1739750162.4139895,-3.755390625,0.26584716796875,9.59205322265625,-11.625954198473282,1.9541984732824427,-1.381679389312977,0
1739750162.4241009,-3.78652587890625,0.5676196289062501,9.649533691406251,-5.809160305343512,-1.6030534351145038,-2.381679389312977,0
1739750162.434214,-3.6021093750000004,-0.03592529296875,10.12374755859375,11.67175572519084,-6.213740458015267,-6.442748091603053,0
1739750162.4443398,-4.069138183593751,0.00718505859375,9.93693603515625,8.84732824427481,-7.656488549618321,-5.305343511450381,0
1739750162.454476,-3.9637573242187503,0.20357666015625,9.536967773437501,16.61832061068702,-14.305343511450381,-3.4732824427480917,0
1739750162.464598,-4.27271484375,1.350791015625,10.5811962890625,8.801526717557252,-20.801526717557252,-1.2671755725190839,0
1739750162.4747198,-4.53856201171875,0.38080810546875005,9.47230224609375,6.022900763358779,-18.198473282442748,-4.068702290076335,0
1739750162.4848433,-4.50263671875,6.325246582031251,11.60865966796875,25.53435114503817,-28.519083969465647,1.3282442748091603,0
1739750162.4949577,-2.16509765625,0.55803955078125,10.121352539062501,77.7557251908397,-42.038167938931295,3.4427480916030535,0
1739750162.505069,-4.30385009765625,2.1507275390625002,10.219548339843751,29.480916030534353,-35.87786259541985,28.671755725190838,0
1739750162.5152614,-3.1925610351562503,-4.21762939453125,7.347919921875,-75.90076335877863,-19.099236641221374,2.4427480916030535,0
1739750162.5253868,-1.81781982421875,0.9915380859375,11.18953125,-47.41984732824427,-26.671755725190838,2.381679389312977,0
1739750162.535578,-4.99840576171875,-2.12677734375,8.62925537109375,-16.33587786259542,-19.671755725190838,-17.389312977099237,0
1739750162.5457215,-2.864443359375,-3.0656250000000003,10.011181640625,-0.7938931297709924,-24.3206106870229,-4.343511450381679,0
1739750162.5558977,-2.52195556640625,0.0814306640625,9.433981933593751,-39.41984732824427,-22.908396946564885,-6.0458015267175576,0
1739750162.5660336,-3.5254687500000004,2.3303540039062502,10.911708984375,-62.267175572519086,-32.725190839694655,-2.7786259541984735,0
1739750162.5762997,-4.555327148437501,1.00351318359375,9.314230957031251,-20.564885496183205,-37.099236641221374,-20.641221374045802,0
1739750162.5864205,-4.36612060546875,0.00239501953125,10.241103515625001,-21.786259541984734,-43.43511450381679,-25.938931297709924,0
1739750162.5967338,-3.4536181640625,1.26217529296875,11.2613818359375,-66.1145038167939,-47.778625954198475,-27.977099236641223,0
1739750162.606868,-3.36979248046875,1.2549902343750001,10.14769775390625,-63.656488549618324,-39.229007633587784,-19.015267175572518,0
1739750162.6171598,-3.29794189453125,0.67300048828125,10.0734521484375,-70.36641221374046,-36.091603053435115,-17.732824427480917,0
1739750162.627298,-3.87274658203125,-0.48618896484375,10.44947021484375,-80.09923664122137,-24.66412213740458,-37.0,0
1739750162.6374495,-2.95784912109375,0.14609619140625002,9.9584912109375,-119.31297709923665,-16.206106870229007,-27.0,0
1739750162.6475868,-3.8416113281250004,0.622705078125,11.88648193359375,-136.7175572519084,-6.938931297709924,-26.35114503816794,0
1739750162.6579604,-1.93278076171875,-0.43110351562500004,8.95018798828125,-209.72519083969465,-3.8473282442748094,-22.53435114503817,0
1739750162.6686594,-5.094206542968751,-2.4141796875000003,10.52132080078125,-122.8473282442748,-22.396946564885496,-5.190839694656488,0
1739750162.6798368,-3.5278637695312502,-1.5112573242187501,10.28181884765625,-82.7175572519084,-41.16793893129771,23.984732824427482,0
1739750162.6899796,-3.1470556640625,-1.69806884765625,8.3011376953125,-151.90076335877862,-18.778625954198475,-14.045801526717558,0
1739750162.700133,-2.10522216796875,-2.43573486328125,8.325087890625001,-239.76335877862596,14.091603053435115,-55.282442748091604,0
1739750162.7102637,-3.879931640625,-2.31598388671875,8.1286962890625,-242.70992366412213,32.52671755725191,-69.29007633587786,0
1739750162.7203927,-4.62957275390625,-1.6334033203125,9.3262060546875,-127.03053435114504,14.67175572519084,-63.29770992366412,0
1739750162.7305117,-3.9541772460937503,-1.5471826171875,9.73575439453125,-12.221374045801527,-7.206106870229007,-35.87022900763359,0
1739750162.7406278,-3.17819091796875,-1.714833984375,9.081914062500001,55.32824427480916,-20.221374045801525,-16.16030534351145,0
1739750162.7507422,-2.9530590820312503,-2.2944287109375003,9.18010986328125,83.7557251908397,-37.05343511450382,-33.534351145038165,0
1739750162.760857,-2.68481689453125,-2.2656884765625,7.9658349609375,108.27480916030534,-34.725190839694655,-49.81679389312977,0
1739750162.7709746,-2.30161376953125,-1.8058447265625002,8.1622265625,127.8473282442748,-37.00763358778626,-50.916030534351144,0
1739750162.7810886,-1.56394775390625,-1.38192626953125,8.80169677734375,106.76335877862596,-22.87786259541985,-45.465648854961835,0
1739750162.7912023,-0.8382568359375,-0.69216064453125,9.65432373046875,67.31297709923665,-24.519083969465647,-10.84732824427481,0
1739750162.8013146,-0.49337402343750003,-0.6825805664062501,10.015971679687501,37.213740458015266,-40.916030534351144,35.05343511450382,0
